Unnamed: 0,prompt,category,response,extract_atomic_unit_prompt,parsed_response,atomic_units,true_answer,yesno,hallucinated_atomic_units
1425,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city L
There is a flight from city D to city M
There is a flight from city E to city B
There is a flight from city M to city I
There is a flight from city E to city N
There is a flight from city G to city F
There is a flight from city A to city K
There is a flight from city D to city A
There is a flight from city F to city C
There is a flight from city F to city H
There is a flight from city G to city E
There is a flight from city A to city J

Question: Is there a series of flights that goes from city D to city C? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city D to city C.

Series of flights:
1. Flight from D to A
2. Flight from A to J
3. Flight from J to K
4. Flight from K to C","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city D to city C.

Series of flights:
1. Flight from D to A
2. Flight from A to J
3. Flight from J to K
4. Flight from K to C <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. Flight from D to A
2. Flight from A to J
3. Flight from J to K
4. Flight from K to C 

 ",['yes'],"[('M', 'L'), ('D', 'M'), ('E', 'B'), ('M', 'I'), ('E', 'N'), ('G', 'F'), ('A', 'K'), ('D', 'A'), ('F', 'C'), ('F', 'H'), ('G', 'E'), ('A', 'J'), ('D', 'C')]",['yes'],['yes']
1426,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city N to city K
There is a flight from city J to city E
There is a flight from city L to city G
There is a flight from city C to city L
There is a flight from city M to city N
There is a flight from city N to city B
There is a flight from city M to city J
There is a flight from city D to city A
There is a flight from city J to city F
There is a flight from city C to city D
There is a flight from city D to city I
There is a flight from city L to city H

Question: Is there a series of flights that goes from city M to city G? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city M to city G.

Series of flights:
1. M to N
2. N to K
3. K to E
4. J to E
5. J to F
6. L to H
7. L to G","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city M to city G.

Series of flights:
1. M to N
2. N to K
3. K to E
4. J to E
5. J to F
6. L to H
7. L to G <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. M to N
2. N to K
3. K to E
4. J to E
5. J to F
6. L to H
7. L to G ",['yes'],"[('N', 'K'), ('J', 'E'), ('L', 'G'), ('C', 'L'), ('M', 'N'), ('N', 'B'), ('M', 'J'), ('D', 'A'), ('J', 'F'), ('C', 'D'), ('D', 'I'), ('L', 'H'), ('M', 'G')]",['yes'],['yes']
1427,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city H
There is a flight from city L to city K
There is a flight from city N to city B
There is a flight from city A to city N
There is a flight from city G to city M
There is a flight from city A to city F
There is a flight from city J to city G
There is a flight from city N to city I
There is a flight from city J to city L
There is a flight from city L to city E
There is a flight from city F to city C
There is a flight from city G to city D

Question: Is there a series of flights that goes from city J to city I? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city J to city I.

The series of flights is:
1. J to L
2. L to K
3. K to N
4. N to I","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city J to city I.

The series of flights is:
1. J to L
2. L to K
3. K to N
4. N to I <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. J to L
2. L to K
3. K to N
4. N to I 

 ",['yes'],"[('F', 'H'), ('L', 'K'), ('N', 'B'), ('A', 'N'), ('G', 'M'), ('A', 'F'), ('J', 'G'), ('N', 'I'), ('J', 'L'), ('L', 'E'), ('F', 'C'), ('G', 'D'), ('J', 'I')]",['yes'],['yes']
1428,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city N to city G
There is a flight from city E to city F
There is a flight from city J to city C
There is a flight from city M to city B
There is a flight from city G to city A
There is a flight from city F to city L
There is a flight from city N to city M
There is a flight from city M to city I
There is a flight from city G to city D
There is a flight from city J to city K
There is a flight from city E to city J
There is a flight from city F to city H

Question: Is there a series of flights that goes from city N to city C? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city N to city C.

The series of flights is as follows:
1. N to M
2. M to B
3. M to I
4. I to C","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city N to city C.

The series of flights is as follows:
1. N to M
2. M to B
3. M to I
4. I to C <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
There is a flight from city N to city M.
There is a flight from city M to city B.
There is a flight from city M to city I.
There is a flight from city I to city C.

 ","['yes', ('N', 'M'), ('M', 'B'), ('M', 'I'), ('I', 'C')]","[('N', 'G'), ('E', 'F'), ('J', 'C'), ('M', 'B'), ('G', 'A'), ('F', 'L'), ('N', 'M'), ('M', 'I'), ('G', 'D'), ('J', 'K'), ('E', 'J'), ('F', 'H'), ('N', 'C')]",['yes'],"['yes', ('I', 'C')]"
1429,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city C
There is a flight from city C to city I
There is a flight from city F to city J
There is a flight from city L to city E
There is a flight from city J to city M
There is a flight from city L to city B
There is a flight from city H to city G
There is a flight from city D to city L
There is a flight from city H to city K
There is a flight from city J to city A
There is a flight from city F to city H
There is a flight from city C to city N

Question: Is there a series of flights that goes from city D to city A? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city D to city A.

Series of Flights:
1. Flight from city D to city L
2. Flight from city L to city E
3. Flight from city E to city C
4. Flight from city C to city N
5. Flight from city N to city I
6. Flight from city I to city J
7. Flight from city J to city A","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city D to city A.

Series of Flights:
1. Flight from city D to city L
2. Flight from city L to city E
3. Flight from city E to city C
4. Flight from city C to city N
5. Flight from city N to city I
6. Flight from city I to city J
7. Flight from city J to city A <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. Flight from city D to city L
2. Flight from city L to city E
3. Flight from city E to city C
4. Flight from city C to city N
5. Flight from city N to city I
6. Flight from city I to city J
7. Flight from city J to city A 

 ","['yes', ('D', 'L'), ('L', 'E'), ('E', 'C'), ('C', 'N'), ('N', 'I'), ('I', 'J'), ('J', 'A')]","[('D', 'C'), ('C', 'I'), ('F', 'J'), ('L', 'E'), ('J', 'M'), ('L', 'B'), ('H', 'G'), ('D', 'L'), ('H', 'K'), ('J', 'A'), ('F', 'H'), ('C', 'N'), ('D', 'A')]",['yes'],"['yes', ('I', 'J'), ('N', 'I'), ('E', 'C')]"
1430,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city L
There is a flight from city A to city D
There is a flight from city N to city H
There is a flight from city C to city I
There is a flight from city F to city G
There is a flight from city D to city M
There is a flight from city D to city B
There is a flight from city F to city E
There is a flight from city H to city K
There is a flight from city A to city F
There is a flight from city N to city C
There is a flight from city H to city J

Question: Is there a series of flights that goes from city A to city L? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city A to city L.

The series of flights is:
1. A -> D
2. D -> B
3. B -> M
4. M -> C
5. C -> I
6. I -> L","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city A to city L.

The series of flights is:
1. A -> D
2. D -> B
3. B -> M
4. M -> C
5. C -> I
6. I -> L <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. A -> D
2. D -> B
3. B -> M
4. M -> C
5. C -> I
6. I -> L ",['yes'],"[('C', 'L'), ('A', 'D'), ('N', 'H'), ('C', 'I'), ('F', 'G'), ('D', 'M'), ('D', 'B'), ('F', 'E'), ('H', 'K'), ('A', 'F'), ('N', 'C'), ('H', 'J'), ('A', 'L')]",['yes'],['yes']
1431,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city B to city F
There is a flight from city H to city G
There is a flight from city F to city C
There is a flight from city H to city I
There is a flight from city I to city L
There is a flight from city G to city D
There is a flight from city B to city A
There is a flight from city I to city N
There is a flight from city A to city M
There is a flight from city G to city J
There is a flight from city A to city E
There is a flight from city F to city K

Question: Is there a series of flights that goes from city B to city J? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city B to city J.

The series of flights is:
1. City B to City F
2. City F to City C
3. City C to City G
4. City G to City J","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city B to city J.

The series of flights is:
1. City B to City F
2. City F to City C
3. City C to City G
4. City G to City J <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. City B to City F
2. City F to City C
3. City C to City G
4. City G to City J 

 ",['yes'],"[('B', 'F'), ('H', 'G'), ('F', 'C'), ('H', 'I'), ('I', 'L'), ('G', 'D'), ('B', 'A'), ('I', 'N'), ('A', 'M'), ('G', 'J'), ('A', 'E'), ('F', 'K'), ('B', 'J')]",['yes'],['yes']
1432,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city L to city F
There is a flight from city L to city G
There is a flight from city C to city J
There is a flight from city E to city L
There is a flight from city E to city C
There is a flight from city M to city I
There is a flight from city I to city K
There is a flight from city N to city B
There is a flight from city M to city N
There is a flight from city N to city A
There is a flight from city I to city H
There is a flight from city C to city D

Question: Is there a series of flights that goes from city M to city D? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city M to city D.

The series of flights is:
1. M to N
2. N to A
3. N to B
4. C to D","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city M to city D.

The series of flights is:
1. M to N
2. N to A
3. N to B
4. C to D <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. M to N
2. N to A
3. N to B
4. C to D ",['yes'],"[('L', 'F'), ('L', 'G'), ('C', 'J'), ('E', 'L'), ('E', 'C'), ('M', 'I'), ('I', 'K'), ('N', 'B'), ('M', 'N'), ('N', 'A'), ('I', 'H'), ('C', 'D'), ('M', 'D')]",['yes'],['yes']
1433,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city K to city L
There is a flight from city L to city G
There is a flight from city C to city M
There is a flight from city F to city N
There is a flight from city D to city H
There is a flight from city F to city D
There is a flight from city N to city J
There is a flight from city L to city B
There is a flight from city N to city A
There is a flight from city C to city E
There is a flight from city K to city C
There is a flight from city D to city I

Question: Is there a series of flights that goes from city F to city E? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city F to city E.

Series of flights:
1. Flight from city F to city N
2. Flight from city N to city A
3. Flight from city A to city E","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city F to city E.

Series of flights:
1. Flight from city F to city N
2. Flight from city N to city A
3. Flight from city A to city E <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. Flight from city F to city N
2. Flight from city N to city A
3. Flight from city A to city E ","['yes', ('F', 'N'), ('N', 'A'), ('A', 'E')]","[('K', 'L'), ('L', 'G'), ('C', 'M'), ('F', 'N'), ('D', 'H'), ('F', 'D'), ('N', 'J'), ('L', 'B'), ('N', 'A'), ('C', 'E'), ('K', 'C'), ('D', 'I'), ('F', 'E')]",['yes'],"['yes', ('A', 'E')]"
1434,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city K
There is a flight from city C to city J
There is a flight from city C to city D
There is a flight from city K to city B
There is a flight from city K to city F
There is a flight from city L to city H
There is a flight from city L to city M
There is a flight from city N to city A
There is a flight from city A to city E
There is a flight from city N to city C
There is a flight from city G to city L
There is a flight from city A to city I

Question: Is there a series of flights that goes from city N to city M? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city N to city M.

The series of flights is:
1. N to C
2. C to D
3. D to J
4. J to L
5. L to M","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city N to city M.

The series of flights is:
1. N to C
2. C to D
3. D to J
4. J to L
5. L to M <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. N to C
2. C to D
3. D to J
4. J to L
5. L to M 

 ",['yes'],"[('G', 'K'), ('C', 'J'), ('C', 'D'), ('K', 'B'), ('K', 'F'), ('L', 'H'), ('L', 'M'), ('N', 'A'), ('A', 'E'), ('N', 'C'), ('G', 'L'), ('A', 'I'), ('N', 'M')]",['yes'],['yes']
1435,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city F to city L
There is a flight from city B to city E
There is a flight from city H to city C
There is a flight from city H to city F
There is a flight from city K to city B
There is a flight from city J to city M
There is a flight from city J to city G
There is a flight from city K to city J
There is a flight from city C to city A
There is a flight from city B to city D
There is a flight from city F to city N
There is a flight from city C to city I

Question: Is there a series of flights that goes from city K to city A? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city K to city A.

The series of flights is as follows:
1. K to J
2. J to G
3. J to M
4. M to J
5. J to G
6. J to K
7. K to B
8. B to D
9. D to B
10. B to E
11. E to B
12. B to D
13. D to B
14. B to E
15. E to B
16. B to E
17. E to B
18. B to E
19. E to B
20. B to E
21. E to B
22. B to D
23. D to A","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city K to city A.

The series of flights is as follows:
1. K to J
2. J to G
3. J to M
4. M to J
5. J to G
6. J to K
7. K to B
8. B to D
9. D to B
10. B to E
11. E to B
12. B to D
13. D to B
14. B to E
15. E to B
16. B to E
17. E to B
18. B to E
19. E to B
20. B to E
21. E to B
22. B to D
23. D to A <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. K to J
2. J to G
3. J to M
4. M to J
5. J to G
6. J to K
7. K to B
8. B to D
9. D to B
10. B to E
11. E to B
12. B to D
13. D to B
14. B to E
15. E to B
16. B to E
17. E to B
18. B to E
19.",['yes'],"[('F', 'L'), ('B', 'E'), ('H', 'C'), ('H', 'F'), ('K', 'B'), ('J', 'M'), ('J', 'G'), ('K', 'J'), ('C', 'A'), ('B', 'D'), ('F', 'N'), ('C', 'I'), ('K', 'A')]",['yes'],['yes']
1436,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city G to city B
There is a flight from city G to city J
There is a flight from city K to city I
There is a flight from city B to city M
There is a flight from city J to city N
There is a flight from city F to city H
There is a flight from city E to city K
There is a flight from city B to city A
There is a flight from city F to city L
There is a flight from city K to city C
There is a flight from city J to city D
There is a flight from city E to city F

Question: Is there a series of flights that goes from city G to city L? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city G to city L.

The series of flights is as follows:
1. City G to City J
2. City J to City D
3. City J to City N
4. City N to City F
5. City F to City L","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city G to city L.

The series of flights is as follows:
1. City G to City J
2. City J to City D
3. City J to City N
4. City N to City F
5. City F to City L <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
1. City G to City J
2. City J to City D
3. City J to City N
4. City N to City F
5. City F to City L ",['yes'],"[('G', 'B'), ('G', 'J'), ('K', 'I'), ('B', 'M'), ('J', 'N'), ('F', 'H'), ('E', 'K'), ('B', 'A'), ('F', 'L'), ('K', 'C'), ('J', 'D'), ('E', 'F'), ('G', 'L')]",['yes'],['yes']
1437,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city M to city D
There is a flight from city A to city F
There is a flight from city I to city G
There is a flight from city M to city B
There is a flight from city I to city H
There is a flight from city N to city L
There is a flight from city J to city M
There is a flight from city J to city N
There is a flight from city F to city K
There is a flight from city A to city I
There is a flight from city N to city C
There is a flight from city F to city E

Question: Is there a series of flights that goes from city A to city D? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city A to city D.

The series of flights is:
1. A to F
2. F to K
3. K to E
4. E to D","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city A to city D.

The series of flights is:
1. A to F
2. F to K
3. K to E
4. E to D <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. A to F
2. F to K
3. K to E
4. E to D ",['yes'],"[('M', 'D'), ('A', 'F'), ('I', 'G'), ('M', 'B'), ('I', 'H'), ('N', 'L'), ('J', 'M'), ('J', 'N'), ('F', 'K'), ('A', 'I'), ('N', 'C'), ('F', 'E'), ('A', 'D')]",['yes'],['yes']
1438,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city A to city N
There is a flight from city L to city M
There is a flight from city K to city A
There is a flight from city I to city F
There is a flight from city K to city L
There is a flight from city I to city H
There is a flight from city A to city C
There is a flight from city J to city D
There is a flight from city E to city J
There is a flight from city J to city B
There is a flight from city E to city I
There is a flight from city L to city G

Question: Is there a series of flights that goes from city K to city D? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city K to city D.

The series of flights is:
1. Flight from city K to city L
2. Flight from city L to city M
3. Flight from city M to city J
4. Flight from city J to city D","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city K to city D.

The series of flights is:
1. Flight from city K to city L
2. Flight from city L to city M
3. Flight from city M to city J
4. Flight from city J to city D <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. Flight from city K to city L
2. Flight from city L to city M
3. Flight from city M to city J
4. Flight from city J to city D 

 ","['yes', ('K', 'L'), ('L', 'M'), ('M', 'J'), ('J', 'D')]","[('A', 'N'), ('L', 'M'), ('K', 'A'), ('I', 'F'), ('K', 'L'), ('I', 'H'), ('A', 'C'), ('J', 'D'), ('E', 'J'), ('J', 'B'), ('E', 'I'), ('L', 'G'), ('K', 'D')]",['yes'],"['yes', ('M', 'J')]"
1439,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city A to city C
There is a flight from city K to city I
There is a flight from city B to city L
There is a flight from city G to city E
There is a flight from city G to city J
There is a flight from city C to city H
There is a flight from city C to city F
There is a flight from city A to city B
There is a flight from city I to city D
There is a flight from city K to city G
There is a flight from city I to city N
There is a flight from city B to city M

Question: Is there a series of flights that goes from city K to city F? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city K to city F.

The series of flights is as follows:
1. K to G
2. G to E
3. E to J
4. J to C
5. C to F","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city K to city F.

The series of flights is as follows:
1. K to G
2. G to E
3. E to J
4. J to C
5. C to F <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","
There is a flight from city K to city G
There is a flight from city G to city E
There is a flight from city E to city J
There is a flight from city J to city C
There is a flight from city C to city F 

 ","['yes', ('K', 'G'), ('G', 'E'), ('E', 'J'), ('J', 'C'), ('C', 'F')]","[('A', 'C'), ('K', 'I'), ('B', 'L'), ('G', 'E'), ('G', 'J'), ('C', 'H'), ('C', 'F'), ('A', 'B'), ('I', 'D'), ('K', 'G'), ('I', 'N'), ('B', 'M'), ('K', 'F')]",['yes'],"['yes', ('E', 'J'), ('J', 'C')]"
1440,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city C to city K
There is a flight from city C to city A
There is a flight from city H to city G
There is a flight from city F to city L
There is a flight from city B to city J
There is a flight from city F to city I
There is a flight from city H to city D
There is a flight from city B to city N
There is a flight from city E to city B
There is a flight from city E to city C
There is a flight from city M to city H
There is a flight from city M to city F

Question: Is there a series of flights that goes from city E to city G? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city E to city G.

Series of flights:
1. E to C
2. C to A
3. A to K
4. K to H
5. H to G","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city E to city G.

Series of flights:
1. E to C
2. C to A
3. A to K
4. K to H
5. H to G <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. E to C
2. C to A
3. A to K
4. K to H
5. H to G ",['yes'],"[('C', 'K'), ('C', 'A'), ('H', 'G'), ('F', 'L'), ('B', 'J'), ('F', 'I'), ('H', 'D'), ('B', 'N'), ('E', 'B'), ('E', 'C'), ('M', 'H'), ('M', 'F'), ('E', 'G')]",['yes'],['yes']
1441,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city D to city K
There is a flight from city F to city B
There is a flight from city K to city H
There is a flight from city J to city L
There is a flight from city K to city M
There is a flight from city D to city J
There is a flight from city E to city A
There is a flight from city B to city G
There is a flight from city E to city C
There is a flight from city F to city E
There is a flight from city J to city N
There is a flight from city B to city I

Question: Is there a series of flights that goes from city D to city C? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city D to city C.

Series of flights:
1. Flight from D to J
2. Flight from J to L
3. Flight from L to N
4. Flight from N to J
5. Flight from J to D
6. Flight from D to K
7. Flight from K to M
8. Flight from M to K
9. Flight from K to H
10. Flight from H to K
11. Flight from K to E
12. Flight from E to C","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city D to city C.

Series of flights:
1. Flight from D to J
2. Flight from J to L
3. Flight from L to N
4. Flight from N to J
5. Flight from J to D
6. Flight from D to K
7. Flight from K to M
8. Flight from M to K
9. Flight from K to H
10. Flight from H to K
11. Flight from K to E
12. Flight from E to C <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. Flight from D to J
2. Flight from J to L
3. Flight from L to N
4. Flight from N to J
5. Flight from J to D
6. Flight from D to K
7. Flight from K to M
8. Flight from M to K
9. Flight from K to H
10. Flight from H to K
11. Flight from K to E
12. Flight from E to C ",['yes'],"[('D', 'K'), ('F', 'B'), ('K', 'H'), ('J', 'L'), ('K', 'M'), ('D', 'J'), ('E', 'A'), ('B', 'G'), ('E', 'C'), ('F', 'E'), ('J', 'N'), ('B', 'I'), ('D', 'C')]",['yes'],['yes']
1442,"Current flight information (the following flights are one-way only, and all the flights available are included below):
There is a flight from city H to city F
There is a flight from city I to city G
There is a flight from city H to city A
There is a flight from city C to city N
There is a flight from city I to city C
There is a flight from city A to city M
There is a flight from city F to city D
There is a flight from city C to city J
There is a flight from city A to city K
There is a flight from city F to city L
There is a flight from city G to city B
There is a flight from city G to city E

Question: Is there a series of flights that goes from city I to city L? First, respond with yes or no. If yes, then provide the series of flights.",graph,"Yes, there is a series of flights that goes from city I to city L.

The series of flights is as follows:
1. Flight from city I to city C
2. Flight from city C to city J
3. Flight from city J to city F
4. Flight from city F to city L","<Context>: Yes, there is a series of flights that goes from city C to city E. The series of flights is: C -> H -> F -> E. <Instruction>:  What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: There is a flight from city C to city H, There is a flight from city H to city F, There is a flight from city F to city E 

 <Context>: Yes, there is a series of flights that goes from city I to city L.

The series of flights is as follows:
1. Flight from city I to city C
2. Flight from city C to city J
3. Flight from city J to city F
4. Flight from city F to city L <Instruction>: What are the series of flights mentioned in the above text? Just list them out. 

 <Response>: ","1. Flight from city I to city C
2. Flight from city C to city J
3. Flight from city J to city F
4. Flight from city F to city L

 ","['yes', ('I', 'C'), ('C', 'J'), ('J', 'F'), ('F', 'L')]","[('H', 'F'), ('I', 'G'), ('H', 'A'), ('C', 'N'), ('I', 'C'), ('A', 'M'), ('F', 'D'), ('C', 'J'), ('A', 'K'), ('F', 'L'), ('G', 'B'), ('G', 'E'), ('I', 'L')]",['yes'],"['yes', ('J', 'F')]"
